TimeStamp,Latitude,Longitude,Speed,Status
1691123792,29.94417,30.918,60,1
1691123804,29.94476,30.9175,60,1
1691123814,29.94568,30.91669,60,1
1691123823,29.94644,30.91604,60,1
1691123833,29.94682,30.91572,60,1
1691123843,29.94722,30.91539,60,1
1691123854,29.94801,30.91473,60,1
1691123864,29.94901,30.91385,60,1
1691123873,29.94985,30.91316,60,1
1691123884,29.9502,30.91287,60,1
1691123893,29.95076,30.9125,60,1
1691123904,29.9512,30.91231,60,1
1691123905,29.95123,30.91231,60,1
1691123915,29.95125,30.91227,60,1
1691123934,29.95139,30.91199,60,1
1691123944,29.95088,30.91143,60,1
1691123954,29.9502,30.91043,60,1
1691123965,29.94939,30.90919,60,1
1691123975,29.94897,30.90855,60,1
1691123985,29.94844,30.90776,60,1
1691123995,29.94761,30.9065,60,1
1691124005,29.94675,30.9052,60,1
1691124014,29.9464,30.90453,60,1
1691124024,29.94613,30.90412,60,1
1691124034,29.94564,30.90335,60,1
1691124036,29.94557,30.9032,60,1
1691124046,29.94553,30.90313,60,1
1691124064,29.94541,30.90289,60,1
1691124075,29.94522,30.90222,60,1
1691124082,29.94487,30.90213,60,1
1691124087,29.94485,30.90214,60,1
1691124097,29.94485,30.90213,60,1
1691124115,29.94477,30.90219,60,1
1691124126,29.94426,30.90279,60,1
1691124136,29.94332,30.9036,60,1
1691124146,29.94211,30.90469,60,1
1691124156,29.94061,30.90599,60,1
1691124166,29.93897,30.90738,60,1
1691124176,29.93732,30.90876,60,1
1691124186,29.93566,30.9102,60,1
1691124196,29.93402,30.91169,60,1
1691124206,29.93243,30.91315,60,1
1691124216,29.93104,30.9144,60,1
1691124226,29.92983,30.91515,60,1
1691124236,29.92853,30.9158,60,1
1691124246,29.92713,30.91684,60,1
1691124256,29.92568,30.91815,60,1
1691124266,29.92413,30.91962,60,1
1691124276,29.92244,30.92106,60,1
1691124286,29.92077,30.92259,60,1
1691124297,29.91896,30.92429,60,1
1691124307,29.91749,30.92569,60,1
1691124317,29.916,30.92706,60,1
1691124327,29.91457,30.92832,60,1
1691124337,29.91314,30.92953,60,1
1691124347,29.91177,30.9307,60,1
1691124357,29.91043,30.9319,60,1
1691124367,29.90891,30.93313,60,1
1691124377,29.9075,30.93439,60,1
1691124387,29.90664,30.93602,60,1
1691124397,29.90641,30.93787,60,1
1691124407,29.90635,30.93975,60,1
1691124417,29.90628,30.94164,60,1
1691124427,29.90617,30.94361,60,1
1691124438,29.90605,30.94599,60,1
1691124448,29.9059,30.94822,60,1
1691124458,29.90581,30.95061,60,1
1691124468,29.90575,30.95313,60,1
1691124478,29.90565,30.95571,60,1
1691124488,29.90561,30.95835,60,1
1691124498,29.90551,30.96102,60,1
1691124508,29.90543,30.96373,60,1
1691124518,29.90536,30.96636,60,1
1691124528,29.90528,30.96903,60,1
1691124538,29.90522,30.9717,60,1
1691124548,29.90515,30.97441,60,1
1691124558,29.90508,30.97722,60,1
1691124568,29.90473,30.97995,60,1
1691124578,29.90371,30.98245,60,1
1691124588,29.90263,30.98477,60,1
1691124598,29.90152,30.98708,60,1
1691124609,29.90022,30.98981,60,1
1691124619,29.89906,30.99223,60,1
1691124629,29.89794,30.99462,60,1
1691124639,29.89676,30.99714,60,1
1691124649,29.89553,30.99977,60,1
1691124659,29.89429,31.00239,60,1
1691124669,29.89309,31.00492,60,1
1691124679,29.8919,31.00749,60,1
1691124689,29.89065,31.01011,60,1
1691124699,29.88939,31.01274,60,1
1691124709,29.88811,31.01541,60,1
1691124719,29.88685,31.01813,60,1
1691124729,29.88558,31.02081,60,1
1691124739,29.88429,31.02337,60,1
1691124749,29.88305,31.02598,60,1
1691124760,29.8817,31.02882,60,1
1691124770,29.88049,31.03138,60,1
1691124780,29.87929,31.03393,60,1
1691124790,29.87809,31.03646,60,1
1691124800,29.87689,31.03901,60,1
1691124810,29.87567,31.0416,60,1
1691124820,29.87456,31.04389,60,1
1691124829,29.87409,31.04485,60,1
1691124831,29.87406,31.04489,60,1
1691125035,29.87348,31.04615,60,1
1691125045,29.87294,31.0473,60,1
1691125067,29.8712,31.05098,60,1
1691125081,29.86987,31.05383,60,1
1691125091,29.86888,31.05597,60,1
1691125101,29.8683,31.05836,60,1
1691125111,29.86815,31.06098,60,1
1691125121,29.86807,31.06376,60,1
1691125131,29.86795,31.0666,60,1
1691125141,29.86739,31.06927,60,1
1691125151,29.86634,31.07167,60,1
1691125161,29.86521,31.07405,60,1
1691125171,29.86407,31.07656,60,1
1691125181,29.86304,31.07884,60,1
1691125191,29.86211,31.08085,60,1
1691125202,29.86134,31.08248,60,1
1691125210,29.86092,31.08293,60,1
1691125222,29.86064,31.08314,60,1
1691125231,29.86051,31.08335,60,1
1691125237,29.86045,31.08347,60,1
1691125243,29.86045,31.08352,60,1
1691125262,29.86033,31.0841,60,1
1691125272,29.86013,31.08505,60,1
1691125282,29.85964,31.08626,60,1
1691125292,29.85899,31.08781,60,1
1691125302,29.85823,31.08946,60,1
1691125312,29.85738,31.09131,60,1
1691125322,29.85643,31.09339,60,1
1691125332,29.85541,31.09567,60,1
1691125342,29.85434,31.09803,60,1
1691125352,29.85325,31.10049,60,1
1691125363,29.85185,31.10307,60,1
1691125373,29.85043,31.10522,60,1
1691125383,29.84888,31.1072,60,1
1691125393,29.84735,31.10915,60,1
1691125403,29.84573,31.11117,60,1
1691125413,29.84411,31.11321,60,1
1691125423,29.84247,31.11523,60,1
1691125433,29.84086,31.11724,60,1
1691125443,29.83928,31.11926,60,1
1691125453,29.83784,31.12147,60,1
1691125463,29.83684,31.12407,60,1
1691125473,29.83642,31.1269,60,1
1691125483,29.83615,31.12976,60,1
1691125493,29.83589,31.13243,60,1
1691125503,29.83564,31.1352,60,1
1691125513,29.83536,31.13804,60,1
1691125523,29.83505,31.14094,60,1
1691125533,29.83477,31.1438,60,1
1691125544,29.83453,31.14688,60,1
1691125554,29.83431,31.14965,60,1
1691125564,29.83421,31.1524,60,1
1691125574,29.83426,31.1552,60,1
1691125584,29.83441,31.15797,60,1
1691125594,29.83473,31.16067,60,1
1691125604,29.83514,31.16336,60,1
1691125614,29.83569,31.16602,60,1
1691125624,29.83683,31.16837,60,1
1691125634,29.83855,31.17021,60,1
1691125644,29.84048,31.17192,60,1
1691125654,29.84212,31.17385,60,1
1691125664,29.84335,31.1761,60,1
1691125674,29.84418,31.17871,60,1
1691125684,29.84446,31.18148,60,1
1691125694,29.84424,31.1842,60,1
1691125705,29.84357,31.1872,60,1
1691125715,29.84296,31.18986,60,1
1691125725,29.84238,31.19253,60,1
1691125735,29.84176,31.19515,60,1
1691125745,29.84087,31.19764,60,1
1691125755,29.83977,31.19998,60,1
1691125765,29.83843,31.20222,60,1
1691125775,29.8371,31.20452,60,1
1691125785,29.83577,31.20688,60,1
1691125795,29.83446,31.20931,60,1
1691125805,29.83323,31.21179,60,1
1691125815,29.83202,31.21422,60,1
1691125825,29.83083,31.21661,60,1
1691125835,29.8296,31.21909,60,1
1691125845,29.82837,31.22156,60,1
1691125855,29.82727,31.22409,60,1
1691125865,29.82661,31.22672,60,1
1691125876,29.82635,31.22962,60,1
1691125886,29.82648,31.23226,60,1
1691125896,29.82669,31.23479,60,1
1691125906,29.82709,31.23729,60,1
1691125916,29.82809,31.2397,60,1
1691125926,29.82969,31.24176,60,1
1691125936,29.83132,31.24362,60,1
1691125946,29.83295,31.24551,60,1
1691125956,29.83457,31.24736,60,1
1691125966,29.83618,31.24934,60,1
1691125976,29.83763,31.25137,60,1
1691125986,29.83896,31.25343,60,1
1691125996,29.84027,31.25572,60,1
1691126006,29.84172,31.25779,60,1
1691126016,29.84353,31.2592,60,1
1691126026,29.84573,31.26011,60,1
1691126036,29.8479,31.26097,60,1
1691126047,29.85015,31.26167,60,1
1691126057,29.85233,31.26221,60,1
1691126067,29.85465,31.26267,60,1
1691126077,29.85682,31.26352,60,1
1691126087,29.85851,31.26497,60,1
1691126097,29.85984,31.267,60,1
